Game Title,Status,HLTB Main Story (Rounded),Time Played (Rounded),,,,,Backlog,,,
Darkwood,Backlog,18.3 hrs,0.9 hrs,,,,,Home,Backlog,1.2 hrs,0 hrs
Data Hacker: Corruption,Backlog,18 hrs,0 hrs,,,,,Homefront,Backlog,4.2 hrs,0 hrs
DAVE THE DIVER,Dropped,25 hrs,8.6 hrs,,,,,Hotline Miami,Backlog,5.2 hrs,0 hrs
Days Gone,Completed,36.5 hrs,0 hrs,,,,,Hyperdimension Neptunia Re;Birth1,Backlog,28 hrs,0.2 hrs
DC Universe Online,Multiplayer,74.8 hrs,1.2 hrs,,,,,HYPERVIOLENT,Backlog,0 hrs,0 hrs
Dead Island,Multiplayer,18.3 hrs,0 hrs,,,,,In Sound Mind,Backlog,10.1 hrs,0 hrs
Dead Island Definitive Edition,Multiplayer,9.6 hrs,2.7 hrs,,,,,Inkulinati,Backlog,6 hrs,0 hrs
Dead or Alive 5 Last Round,Multiplayer,3.6 hrs,0.3 hrs,,,,,INSIDE,Backlog,3.5 hrs,0 hrs
Dead Rising 2: Off the Record,Dropped,13 hrs,2.6 hrs,,,,,Jack Move,Backlog,5.9 hrs,0 hrs
Dead Rising 3,Dropped,14 hrs,5.7 hrs,,,,,Jagged Alliance 3,Backlog,46.6 hrs,0 hrs
Dead Space (2008),Completed,11 hrs,18.2 hrs,,,,,Jet Set Radio,Backlog,6.8 hrs,0.2 hrs
Dead Space 2,Completed,9.1 hrs,0.8 hrs,,,,,Jurassic World Evolution 2,Backlog,6.2 hrs,0 hrs
Dead Space™ 3,Multiplayer,13 hrs,1.5 hrs,,,,,Jusant,Backlog,4.5 hrs,0 hrs
Deadly Premonition 2,Backlog,19.9 hrs,0 hrs,,,,,Just Cause 2,Backlog,17.7 hrs,0.7 hrs
Deadly Premonition: The Director's Cut,Backlog,18.3 hrs,0 hrs,,,,,Just Cause 3,Backlog,18.3 hrs,4.2 hrs
Deathtrap,Backlog,7.2 hrs,0 hrs,,,,,Katamari Damacy REROLL,Backlog,4.6 hrs,0 hrs
Deep Rock Galactic,Multiplayer,45.1 hrs,14.3 hrs,,,,,Killer is Dead,Backlog,7.2 hrs,2.8 hrs
Demon Hunter: Chronicles from Beyond,Backlog,3.2 hrs,0 hrs,,,,,Kingdom: Classic,Backlog,8.1 hrs,0 hrs
Deponia: The Complete Journey,Backlog,26.3 hrs,0 hrs,,,,,Klonoa Phantasy Reverie Series,Backlog,9 hrs,0.2 hrs
Destiny 2,Multiplayer,12.2 hrs,2 hrs,,,,,Labyrinthine Dreams,Backlog,1.3 hrs,1 hrs
Destroy All Humans!,Completed,7.6 hrs,11.7 hrs,,,,,Learn Japanese To Survive - Hiragana Battle,Backlog,9.9 hrs,0 hrs
Destroy All Humans! 2 - Reprobed,Backlog,11 hrs,0 hrs,,,,,Learn Japanese To Survive! Kanji Combat,Backlog,12 hrs,0 hrs
Destroyer: The U-Boat Hunter,Dropped,0 hrs,0 hrs,,,,,Learn Japanese To Survive! Katakana War,Backlog,10.9 hrs,0 hrs
Detention,Backlog,3.3 hrs,0 hrs,,,,,Legacy of Kain™ Soul Reaver 1&2 Remastered,Backlog,21.5 hrs,0 hrs
Deus Ex: Game of the Year Edition,Backlog,22.9 hrs,1.1 hrs,,,,,LEGO® Harry Potter: Years 1-4,Backlog,12 hrs,2.3 hrs
Deus Ex: Human Revolution - Director's Cut,Backlog,23.3 hrs,2.5 hrs,,,,,LEGO® Star Wars™ III: The Clone Wars™,Backlog,9 hrs,0 hrs
Devil May Cry 4 Special Edition,Completed,10.8 hrs,27.9 hrs,,,,,LEGO® The Hobbit™,Backlog,9 hrs,0 hrs
Devil May Cry 5,Completed,11.1 hrs,22.1 hrs,,,,,LIGHTNING RETURNS: FINAL FANTASY XIII,Backlog,33 hrs,0 hrs
Devil May Cry HD Collection,Completed,23.2 hrs,31.3 hrs,,,,,Lil Gator Game,Backlog,3.2 hrs,0 hrs
DEVOUR,Backlog,3.5 hrs,0.9 hrs,,,,,LIMBO,Backlog,3.5 hrs,0 hrs
Diluvian Ultra,Backlog,7 hrs,0 hrs,,,,,Loddlenaut,Backlog,3.6 hrs,0 hrs
Diplomacy is Not an Option,Backlog,25.3 hrs,0 hrs,,,,,Lords Of The Fallen,Backlog,29 hrs,0 hrs
DiRT 3 Complete Edition,Arcade,15.3 hrs,2.9 hrs,,,,,Lost Eidolons,Backlog,40.1 hrs,0 hrs
DiRT Rally,Arcade,28.7 hrs,0 hrs,,,,,Lost Planet 3,Backlog,10.6 hrs,0 hrs
DiRT Showdown,Arcade,9 hrs,0 hrs,,,,,Lost Planet: Extreme Condition,Backlog,8 hrs,0 hrs
Disco Elysium,Backlog,23.6 hrs,8.1 hrs,,,,,Mad Max,Backlog,20.1 hrs,0 hrs
